,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretsKills,Team2:TurretsKills,Team1:InhibitorsKills,Team2:InhibitorsKills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID
0,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7231396449
1,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7231396449
2,2,563,611,542,542,524,563,621,605,612,524,2782,2925,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team1,EUW1_7231396449
3,3,762,1083,776,955,724,941,1022,955,997,734,4300,4649,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.6,Team1,EUW1_7231396449
4,4,1471,1320,1113,1225,907,1169,1715,1246,1350,1010,6036,6490,1,1,0,0,0,0,0,0,0,0,0,0,3.6,3.6,Team1,EUW1_7231396449
5,5,1642,1623,1410,1445,1092,1642,2002,1606,1647,1150,7212,8047,1,2,0,0,0,0,0,0,0,0,0,0,4.2,4.2,Team1,EUW1_7231396449
6,6,1870,2170,1760,1743,1262,2382,2253,2233,2162,1351,8805,10381,2,4,0,0,0,0,0,0,0,0,0,0,4.6,5.0,Team1,EUW1_7231396449
7,7,2125,2802,2071,1959,1633,2609,2811,2579,2461,1609,10590,12069,3,5,0,0,0,0,0,1,0,0,0,0,5.2,5.8,Team1,EUW1_7231396449
8,8,2268,4008,2597,2475,2053,3478,3208,2761,2918,1855,13401,14220,6,7,0,0,0,0,0,1,0,0,0,0,5.8,6.2,Team1,EUW1_7231396449
9,9,2673,4807,3090,2802,2409,3615,3490,3586,3319,2084,15781,16094,8,8,0,0,0,0,0,1,0,0,0,0,6.6,6.8,Team1,EUW1_7231396449
10,10,2921,5684,3268,3336,2870,4053,3718,3800,3441,2302,18079,17314,10,8,0,0,0,0,0,1,0,0,0,0,6.8,7.0,Team1,EUW1_7231396449
11,11,3615,6108,3594,3507,3129,4404,4202,4181,4366,2629,19953,19782,11,9,0,0,0,0,0,1,0,0,0,0,7.6,7.6,Team1,EUW1_7231396449
12,12,3843,6952,4261,4511,3870,4925,4324,4429,4678,2846,23437,21202,15,9,0,0,0,0,0,1,0,0,0,0,8.0,7.8,Team1,EUW1_7231396449
13,13,4420,7075,4580,4864,4068,5519,5015,4636,5946,3260,25007,24376,16,12,0,0,0,0,0,1,0,0,0,0,8.8,8.6,Team1,EUW1_7231396449
14,14,4626,7371,5265,5301,4309,5739,5227,4944,6303,3477,26872,25690,17,12,0,0,0,0,1,1,0,0,0,0,9.0,9.0,Team1,EUW1_7231396449
15,15,5371,7933,5965,5830,4526,6553,5605,5358,6727,3701,29625,27944,18,12,1,1,0,0,1,1,0,0,0,0,9.6,9.4,Team1,EUW1_7231396449
16,16,5515,8303,6280,6107,4745,7272,6076,5908,7506,4023,30950,30785,18,13,2,1,0,0,1,1,0,0,0,0,9.8,9.8,Team1,EUW1_7231396449
