Minute,Team1 Gold,Team2 Gold,Winning Team,Match ID
0,7000,7000,Team2,EUW1_7221801354
1,7015,7018,Team2,EUW1_7221801354
2,9926,10117,Team2,EUW1_7221801354
3,14103,12867,Team2,EUW1_7221801354
4,16573,16765,Team2,EUW1_7221801354
5,19997,19501,Team2,EUW1_7221801354
6,23455,22870,Team2,EUW1_7221801354
7,26472,26650,Team2,EUW1_7221801354
8,29950,29464,Team2,EUW1_7221801354
9,32974,32644,Team2,EUW1_7221801354
10,35984,35599,Team2,EUW1_7221801354
11,38986,38725,Team2,EUW1_7221801354
12,42440,41362,Team2,EUW1_7221801354
13,44884,45858,Team2,EUW1_7221801354
14,47251,48439,Team2,EUW1_7221801354
15,51372,51610,Team2,EUW1_7221801354
16,53902,54773,Team2,EUW1_7221801354
17,56895,57540,Team2,EUW1_7221801354
18,60397,59908,Team2,EUW1_7221801354
19,63775,63232,Team2,EUW1_7221801354
20,67553,65578,Team2,EUW1_7221801354
21,69517,71219,Team2,EUW1_7221801354
22,72649,73993,Team2,EUW1_7221801354
22,74725,77295,Team2,EUW1_7221801354
0,7000,7000,Team2,EUW1_7221773445
1,7015,7015,Team2,EUW1_7221773445
2,9169,9665,Team2,EUW1_7221773445
3,11533,12760,Team2,EUW1_7221773445
4,13728,16206,Team2,EUW1_7221773445
5,16752,19198,Team2,EUW1_7221773445
6,18904,22686,Team2,EUW1_7221773445
7,21851,25821,Team2,EUW1_7221773445
8,24908,28584,Team2,EUW1_7221773445
9,28962,31174,Team2,EUW1_7221773445
10,31683,34968,Team2,EUW1_7221773445
11,33877,38221,Team2,EUW1_7221773445
12,36196,42771,Team2,EUW1_7221773445
13,39042,45922,Team2,EUW1_7221773445
14,41383,49266,Team2,EUW1_7221773445
15,44056,52441,Team2,EUW1_7221773445
15,44416,53265,Team2,EUW1_7221773445
0,2500,2500,Team1,EUW1_7221500530
1,2500,2500,Team1,EUW1_7221500530
2,2853,2937,Team1,EUW1_7221500530
3,4306,4547,Team1,EUW1_7221500530
4,6142,6161,Team1,EUW1_7221500530
5,7148,8981,Team1,EUW1_7221500530
6,8660,10289,Team1,EUW1_7221500530
7,9840,12026,Team1,EUW1_7221500530
8,11174,13814,Team1,EUW1_7221500530
9,12721,15937,Team1,EUW1_7221500530
10,14133,17910,Team1,EUW1_7221500530
11,16961,19309,Team1,EUW1_7221500530
12,18626,20896,Team1,EUW1_7221500530
13,20556,22207,Team1,EUW1_7221500530
14,22351,24217,Team1,EUW1_7221500530
15,24175,25682,Team1,EUW1_7221500530
16,26690,27525,Team1,EUW1_7221500530
17,29477,29556,Team1,EUW1_7221500530
18,30864,31610,Team1,EUW1_7221500530
19,33781,33980,Team1,EUW1_7221500530
20,37035,36054,Team1,EUW1_7221500530
21,38418,37783,Team1,EUW1_7221500530
22,40927,41346,Team1,EUW1_7221500530
23,42804,44072,Team1,EUW1_7221500530
24,44059,45859,Team1,EUW1_7221500530
25,45658,47216,Team1,EUW1_7221500530
26,47373,48827,Team1,EUW1_7221500530
27,49159,51981,Team1,EUW1_7221500530
28,51232,54105,Team1,EUW1_7221500530
29,55234,56004,Team1,EUW1_7221500530
30,58757,58657,Team1,EUW1_7221500530
31,60046,61775,Team1,EUW1_7221500530
32,63337,64524,Team1,EUW1_7221500530
33,64745,65863,Team1,EUW1_7221500530
34,67108,68459,Team1,EUW1_7221500530
35,70861,69791,Team1,EUW1_7221500530
35,72089,69993,Team1,EUW1_7221500530
0,2500,2500,Team2,EUW1_7221433220
1,2500,3089,Team2,EUW1_7221433220
2,2973,3504,Team2,EUW1_7221433220
3,4815,4966,Team2,EUW1_7221433220
4,6056,7596,Team2,EUW1_7221433220
5,7392,9024,Team2,EUW1_7221433220
6,9241,11028,Team2,EUW1_7221433220
7,10441,12525,Team2,EUW1_7221433220
8,11679,14495,Team2,EUW1_7221433220
9,13076,17153,Team2,EUW1_7221433220
10,16094,18461,Team2,EUW1_7221433220
11,17807,20645,Team2,EUW1_7221433220
12,19934,22576,Team2,EUW1_7221433220
13,21619,24711,Team2,EUW1_7221433220
14,23128,26251,Team2,EUW1_7221433220
15,24532,27647,Team2,EUW1_7221433220
16,26860,30662,Team2,EUW1_7221433220
17,28167,32346,Team2,EUW1_7221433220
18,30203,35300,Team2,EUW1_7221433220
19,31392,38379,Team2,EUW1_7221433220
20,34070,41429,Team2,EUW1_7221433220
21,35599,43720,Team2,EUW1_7221433220
22,39055,45583,Team2,EUW1_7221433220
23,40732,47946,Team2,EUW1_7221433220
24,42045,50599,Team2,EUW1_7221433220
25,43368,53792,Team2,EUW1_7221433220
26,45424,56455,Team2,EUW1_7221433220
27,46858,58246,Team2,EUW1_7221433220
28,48238,61397,Team2,EUW1_7221433220
29,50678,63064,Team2,EUW1_7221433220
29,51309,67162,Team2,EUW1_7221433220
0,2500,2500,Team1,EUW1_7221254296
1,2500,2500,Team1,EUW1_7221254296
2,2743,3793,Team1,EUW1_7221254296
3,4150,5241,Team1,EUW1_7221254296
4,5466,6612,Team1,EUW1_7221254296
5,6670,8424,Team1,EUW1_7221254296
6,9109,11108,Team1,EUW1_7221254296
7,10612,12316,Team1,EUW1_7221254296
8,12418,13636,Team1,EUW1_7221254296
9,13962,16104,Team1,EUW1_7221254296
10,15331,17755,Team1,EUW1_7221254296
11,17775,19360,Team1,EUW1_7221254296
12,19080,21749,Team1,EUW1_7221254296
13,20596,24281,Team1,EUW1_7221254296
14,21999,27027,Team1,EUW1_7221254296
15,23400,28838,Team1,EUW1_7221254296
16,25180,30407,Team1,EUW1_7221254296
17,26732,33343,Team1,EUW1_7221254296
18,29245,35236,Team1,EUW1_7221254296
19,30863,38408,Team1,EUW1_7221254296
20,32686,40240,Team1,EUW1_7221254296
21,35938,41611,Team1,EUW1_7221254296
22,38827,43330,Team1,EUW1_7221254296
23,40929,45574,Team1,EUW1_7221254296
24,42042,47986,Team1,EUW1_7221254296
25,43735,49983,Team1,EUW1_7221254296
26,45244,51704,Team1,EUW1_7221254296
27,46993,54456,Team1,EUW1_7221254296
28,48437,57157,Team1,EUW1_7221254296
29,50176,58806,Team1,EUW1_7221254296
30,52816,60266,Team1,EUW1_7221254296
31,56594,61318,Team1,EUW1_7221254296
32,59438,61966,Team1,EUW1_7221254296
33,63722,63368,Team1,EUW1_7221254296
34,65548,64634,Team1,EUW1_7221254296
35,67986,65855,Team1,EUW1_7221254296
35,70523,66235,Team1,EUW1_7221254296
0,2500,2500,Team2,EUW1_7221201379
1,2525,2505,Team2,EUW1_7221201379
2,3265,2871,Team2,EUW1_7221201379
3,4366,4334,Team2,EUW1_7221201379
4,6048,6088,Team2,EUW1_7221201379
5,7156,7656,Team2,EUW1_7221201379
6,8494,9448,Team2,EUW1_7221201379
7,9962,10818,Team2,EUW1_7221201379
8,11562,12370,Team2,EUW1_7221201379
9,13760,14112,Team2,EUW1_7221201379
10,15329,16781,Team2,EUW1_7221201379
11,16638,18945,Team2,EUW1_7221201379
12,18389,21512,Team2,EUW1_7221201379
13,19799,24905,Team2,EUW1_7221201379
14,21359,26809,Team2,EUW1_7221201379
15,22305,30064,Team2,EUW1_7221201379
16,26782,33383,Team2,EUW1_7221201379
17,28184,35746,Team2,EUW1_7221201379
18,29851,38422,Team2,EUW1_7221201379
19,32245,40356,Team2,EUW1_7221201379
20,33809,42486,Team2,EUW1_7221201379
21,35434,44406,Team2,EUW1_7221201379
22,37057,47890,Team2,EUW1_7221201379
23,38284,49915,Team2,EUW1_7221201379
23,39210,53837,Team2,EUW1_7221201379
0,2500,2500,Team1,EUW1_7221150922
1,2500,2506,Team1,EUW1_7221150922
2,2834,2864,Team1,EUW1_7221150922
3,5051,4674,Team1,EUW1_7221150922
4,6229,6531,Team1,EUW1_7221150922
5,8149,7709,Team1,EUW1_7221150922
6,9617,9455,Team1,EUW1_7221150922
7,11569,11066,Team1,EUW1_7221150922
8,14118,12195,Team1,EUW1_7221150922
9,15327,14616,Team1,EUW1_7221150922
10,17293,16501,Team1,EUW1_7221150922
11,19668,18182,Team1,EUW1_7221150922
12,21288,20210,Team1,EUW1_7221150922
13,24633,22113,Team1,EUW1_7221150922
14,25980,24838,Team1,EUW1_7221150922
15,29114,26114,Team1,EUW1_7221150922
16,31317,28031,Team1,EUW1_7221150922
17,33482,30352,Team1,EUW1_7221150922
18,36183,33145,Team1,EUW1_7221150922
19,38162,34754,Team1,EUW1_7221150922
20,39501,38038,Team1,EUW1_7221150922
21,41435,40231,Team1,EUW1_7221150922
22,45995,41212,Team1,EUW1_7221150922
23,47564,42626,Team1,EUW1_7221150922
24,51988,43693,Team1,EUW1_7221150922
