,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretKills,Team2:TurretKills,Team1:InhibitorKills,Team2:InhibitorKills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID,Elo
0,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7177092123,Bronze4
1,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7177092123,Bronze4
2,2,577,611,612,596,524,612,596,626,577,539,2920,2950,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7177092123,Bronze4
3,3,804,917,941,873,709,1218,1022,948,797,714,4244,4699,0,1,0,0,0,0,0,0,0,0,0,0,2.6,2.4,Team2,EUW1_7177092123,Bronze4
4,4,1130,1413,1524,1256,920,1481,1392,1134,1067,910,6243,5984,1,1,0,0,0,0,0,0,0,0,0,0,3.4,3.4,Team2,EUW1_7177092123,Bronze4
5,5,1651,1693,2089,1392,1115,1799,1854,1333,1280,1255,7940,7521,3,2,0,0,0,0,0,0,0,0,0,0,4.2,3.8,Team2,EUW1_7177092123,Bronze4
6,6,1878,2019,2361,1749,1271,2275,2200,1603,1616,1441,9278,9135,3,2,0,0,0,0,0,0,0,0,0,0,4.8,4.6,Team2,EUW1_7177092123,Bronze4
7,7,2252,2247,2868,2133,1816,2522,2400,1829,1905,1631,11316,10287,5,2,0,0,0,0,0,0,0,0,0,0,5.4,5.2,Team2,EUW1_7177092123,Bronze4
8,8,2576,2475,3405,2422,2032,2909,2727,1986,2194,1827,12910,11643,6,2,0,0,0,0,1,0,0,0,0,0,6.2,5.8,Team2,EUW1_7177092123,Bronze4
9,9,2812,2688,3705,2625,2227,3663,3134,2374,3543,2554,14057,15268,6,6,0,0,0,0,1,0,0,0,0,0,6.4,6.4,Team2,EUW1_7177092123,Bronze4
10,10,3152,3025,4068,2964,2538,3904,3487,2566,3824,2813,15747,16594,7,6,0,0,0,0,1,0,0,0,0,0,6.8,6.8,Team2,EUW1_7177092123,Bronze4
11,11,3473,3747,4902,3356,2788,4235,3693,2982,4190,3046,18266,18146,9,6,0,0,0,0,1,0,0,0,0,0,7.6,7.4,Team2,EUW1_7177092123,Bronze4
12,12,3810,3901,5196,3665,3016,4497,4014,3357,5104,3649,19588,20621,9,8,0,0,0,0,1,0,0,0,0,0,7.8,8.0,Team2,EUW1_7177092123,Bronze4
13,13,3967,4174,5319,4351,3957,4949,4412,4345,5739,4009,21768,23454,11,10,0,0,0,0,1,0,0,0,0,0,8.2,8.4,Team2,EUW1_7177092123,Bronze4
14,14,4282,4366,5972,4659,4259,5219,4683,4778,6096,4181,23538,24957,12,10,0,0,0,0,2,0,0,0,0,0,8.6,8.8,Team2,EUW1_7177092123,Bronze4
15,15,4405,4563,6094,5321,4522,5900,5393,5201,6489,4334,24905,27317,13,13,0,0,0,0,2,0,0,0,0,0,8.8,9.4,Team2,EUW1_7177092123,Bronze4
16,16,4838,4816,6528,5479,4679,6828,6258,5968,7475,5020,26340,31549,13,15,0,3,0,0,2,0,0,0,0,0,9.2,10.0,Team2,EUW1_7177092123,Bronze4
17,17,5073,5099,6713,5949,5284,7097,6476,6264,7755,5182,28118,32774,14,15,0,3,0,0,2,0,0,0,0,0,9.8,10.4,Team2,EUW1_7177092123,Bronze4
18,18,5621,5367,7532,6239,5561,7470,6598,6701,8543,6234,30320,35546,16,18,0,3,0,0,2,0,0,0,0,0,10.0,10.8,Team2,EUW1_7177092123,Bronze4
19,19,5995,5709,8263,6955,5778,7736,7050,6921,8888,6387,32700,36982,17,18,1,3,0,0,2,0,0,0,0,0,10.6,11.0,Team2,EUW1_7177092123,Bronze4
20,20,6259,5951,8568,7365,6710,8249,7977,7121,10040,7188,34853,40575,19,22,1,3,0,0,2,0,0,0,0,0,10.8,11.6,Team2,EUW1_7177092123,Bronze4
21,21,6536,6124,9098,7739,7017,9253,8259,7400,10216,7395,36514,42523,20,22,3,3,0,0,2,1,0,0,0,0,11.0,11.8,Team2,EUW1_7177092123,Bronze4
22,22,7084,6497,9416,8008,7170,9655,8593,7655,10611,7605,38175,44119,20,22,3,3,0,0,2,1,0,0,0,0,11.6,12.2,Team2,EUW1_7177092123,Bronze4
23,23,7992,7080,9671,8971,7558,11094,9563,8141,11167,8107,41272,48072,24,25,3,3,0,0,2,1,0,0,0,1,12.0,13.2,Team2,EUW1_7177092123,Bronze4
24,24,8114,7202,9989,9128,7711,11366,10158,8263,11527,8260,42144,49574,24,26,3,3,0,0,2,1,0,0,0,1,12.0,13.4,Team2,EUW1_7177092123,Bronze4
25,25,8271,7459,10378,10187,7977,12606,10540,8990,12368,8522,44272,53026,26,26,4,5,0,0,2,1,0,0,0,1,12.8,13.4,Team2,EUW1_7177092123,Bronze4
26,26,8684,7637,11019,10533,8207,12777,10980,9197,12554,8725,46080,54233,27,27,4,5,0,1,2,1,0,0,0,1,13.0,13.6,Team2,EUW1_7177092123,Bronze4
27,27,8807,7759,11429,10871,8404,13581,11319,9396,13857,9177,47270,57330,28,30,4,5,0,1,2,2,0,0,0,1,13.0,14.2,Team2,EUW1_7177092123,Bronze4
28,28,9291,7910,11928,11348,8668,14338,11791,9594,14262,9405,49145,59390,28,30,5,6,0,1,2,2,0,0,0,1,13.6,14.4,Team2,EUW1_7177092123,Bronze4
29,29,9625,8304,12500,13360,9317,15305,12573,9769,14817,9669,53106,62133,33,33,6,6,0,1,2,2,0,0,0,1,14.4,14.8,Team2,EUW1_7177092123,Bronze4
30,30,9886,8426,13034,13699,9504,15427,12701,9891,14939,9851,54549,62809,33,33,6,6,0,1,2,2,0,0,0,1,14.6,14.8,Team2,EUW1_7177092123,Bronze4
31,31,10502,8549,13156,13917,9842,15837,13781,10423,15599,10568,55966,66208,34,37,6,7,1,1,2,2,0,0,0,1,14.6,15.4,Team2,EUW1_7177092123,Bronze4
32,31,10520,8566,13173,13934,9864,16397,13799,10441,15617,10590,56057,66844,34,38,6,7,1,1,2,2,0,0,0,1,14.6,15.6,Team2,EUW1_7177092123,Bronze4
33,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7177030376,Bronze4
34,1,500,500,500,521,505,500,505,500,500,505,2526,2510,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7177030376,Bronze4
35,2,521,621,556,613,529,646,616,991,563,529,2840,3345,0,1,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team1,EUW1_7177030376,Bronze4
36,3,818,1022,811,844,757,817,963,1211,748,757,4252,4496,0,1,0,0,0,0,0,0,0,0,0,0,2.6,2.2,Team1,EUW1_7177030376,Bronze4
37,4,1289,1395,1088,1081,926,982,1340,1349,955,912,5779,5538,1,1,0,0,0,0,0,0,0,0,0,0,3.4,3.2,Team1,EUW1_7177030376,Bronze4
38,5,1892,1578,1273,1363,1140,1216,1562,1639,1210,1147,7246,6774,2,1,0,0,0,0,0,0,0,0,0,0,4.2,3.8,Team1,EUW1_7177030376,Bronze4
39,6,2176,2128,1904,1630,1400,1444,2035,1895,1513,1468,9238,8355,4,2,0,0,0,0,0,0,0,0,0,0,4.6,4.4,Team1,EUW1_7177030376,Bronze4
40,7,2407,2457,2419,2009,1636,1730,2337,2113,1796,1668,10928,9644,5,2,0,0,0,0,0,0,0,0,0,0,5.2,5.0,Team1,EUW1_7177030376,Bronze4
41,8,2724,2785,3037,2320,1908,1936,2568,2354,2162,1849,12774,10869,6,2,0,0,0,0,0,0,0,0,0,0,6.2,5.6,Team1,EUW1_7177030376,Bronze4
42,9,3003,3127,3627,2470,2165,2136,2705,2559,2306,2107,14392,11813,7,2,0,0,0,0,0,0,0,0,0,0,6.6,6.0,Team1,EUW1_7177030376,Bronze4
43,10,3515,3959,3903,3054,2515,2530,3182,2850,2933,2421,16946,13916,11,3,0,0,0,0,1,0,0,0,0,0,6.8,6.6,Team1,EUW1_7177030376,Bronze4
44,11,4020,4231,4686,3419,2708,2744,3410,3071,3133,2573,19064,14931,12,3,0,0,0,0,1,0,0,0,0,0,7.6,6.8,Team1,EUW1_7177030376,Bronze4
45,12,4256,4551,5064,3960,2992,3042,3758,3341,3374,2846,20823,16361,12,3,0,0,0,0,1,0,0,0,0,0,8.0,7.4,Team1,EUW1_7177030376,Bronze4
46,13,4504,4939,5924,4386,3454,3237,3972,3485,3587,3077,23207,17358,14,3,0,0,0,0,1,0,0,0,0,0,8.6,7.6,Team1,EUW1_7177030376,Bronze4
47,14,4904,5280,6629,4877,3816,3493,4499,3935,3815,3326,25506,19068,15,4,0,0,0,0,1,0,0,0,0,0,9.2,8.0,Team1,EUW1_7177030376,Bronze4
48,15,6020,5814,7649,5672,4168,3837,4702,4217,4087,3625,29323,20468,17,4,3,0,0,0,1,0,0,0,0,0,9.4,8.4,Team1,EUW1_7177030376,Bronze4
49,16,6933,6369,7786,6612,4494,4097,5848,4554,4348,3777,32194,22624,21,5,3,0,0,0,2,0,0,0,0,0,10.2,8.8,Team1,EUW1_7177030376,Bronze4
50,17,7296,6848,8118,6839,4699,4287,6090,4871,4470,3929,33800,23647,22,5,3,0,0,0,2,0,0,0,0,0,10.2,9.0,Team1,EUW1_7177030376,Bronze4
51,18,7621,7136,8342,7094,4897,4484,7501,5233,4892,4274,35090,26384,23,8,3,0,0,0,2,0,0,0,0,0,10.8,9.4,Team1,EUW1_7177030376,Bronze4
52,19,7994,7577,8792,7343,5287,4654,7842,5578,5196,4510,36993,27780,24,8,4,0,0,0,2,0,0,0,0,0,11.2,10.0,Team1,EUW1_7177030376,Bronze4
53,20,8699,7944,9146,7724,5500,4957,8047,5722,5548,4691,39013,28965,25,8,4,0,0,0,2,0,0,0,0,0,11.6,10.4,Team1,EUW1_7177030376,Bronze4
54,21,9844,8491,9734,7974,6531,5185,8170,5845,5922,4857,42574,29979,29,8,5,0,0,0,2,0,0,0,0,0,12.2,10.6,Team1,EUW1_7177030376,Bronze4
55,22,10316,8962,10066,8210,6921,5722,8455,6191,6086,5638,44475,32092,29,10,7,0,1,0,3,0,0,0,0,0,12.4,11.0,Team1,EUW1_7177030376,Bronze4
